DATAFLOW,COUNTRY,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,REPORTING_PERIOD_TYPE,TRANSFORMATION,UNIT,DERIVATION_TYPE,OVERLAP,REFERENCE_PERIOD,COMMON_REFERENCE_PERIOD,STATUS,IFS_FLAG,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SOURCE,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M01,75.39225,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M02,75.48074,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M03,75.48074,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M04,75.48074,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M05,75.39225,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M06,75.74621,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M07,76.10016,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M08,75.92318,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M09,76.10016,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
IMF.STA:CPI(5.0.0),DEU,CPI,_T,IX,M,2000-M10,76.01167,0,,,,,,O,OL,2020A,2020A,,true,,"The Consumer Price Index (CPI) dataset includes the national consumer price indexes by economy. In addition to the all items, headline index, detailed indexes by Division (e.g. Food and Non-alcoholic beverages, Clothing, etc.), their associated weights, and contributions to national annual inflation are published where available. In addition to the national CPIs, the CPI dataset includes the Harmonised Indices of Consumer Prices (HICPs) compiled by Eurostat for Europe. Consumer price indexes measure the relative changes over time in the prices of goods and services purchased by households, which households use directly, or indirectly, to satisfy their own needs and wants.

CPIs are widely used to index wages, salaries, pensions, and social security benefits.  CPIs are also used to index other payments, such as interest payments or rents, or the prices of bonds.  CPIs are also commonly used as a proxy for the general rate of inflation, even though they measure only consumer inflation.  They are used by governments or central banks to set inflation targets for purposes of monetary policy.  The price data collected for CPI purposes can also be used to compile other indices, such as the price indices used to deflate household consumption expenditure in the national accounts, or to support the compilation of purchasing power parities used to compare real levels of consumption in different countries.  The statistics are sourced from national authorities (central banks, national statistical institutes, ministries of finance) and collected using the IMF's Consumer Price Index Report Form. Where possible, the IMF has entered into data sharing agreements with international organizations who collect the same or similar statistics from national authorities.  In these cases, the IMF sources the statistics from the international organization to reduce the reporting burden on countries.",,IMF,STA,datahelp@imf.org,,"E31_CP,IFS","CPI,inflation,consumer prices,COICOP,price indices,price index","CPI,inflation,consumer prices,COICOP,price indices,price index",EN,2026-08-25T06:46:32.481211700Z,2026-08-25T06:46:32.528905900Z,,,PUBLIC_OPEN,,PUB,,Country Authorities; Organisation for Economic Cooperation and Development; Eurostat; National Summary Data Pages (NSDPs); IMF Staff Calculations,Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Consumer Price Index (CPI),   https://data.imf.org/en/datasets/IMF.STA:CPI. Accessed on [current date].",,
